timestamp,temperature,humidity,container_code,pallet_position,product_description
2025-07-08 01:00:00,-18.83,60.1,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 02:00:00,-18.56,57.14,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 03:00:00,-18.38,58.69,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 04:00:00,-18.55,56.7,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 05:00:00,-19.11,57.76,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 06:00:00,-18.81,59.46,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 07:00:00,-17.51,58.84,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 08:00:00,-17.6,67.07,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 09:00:00,-17.7,64.69,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 10:00:00,-17.52,66.32,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 11:00:00,-17.6,69.13,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 12:00:00,-17.63,69.84,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 13:00:00,-18.14,60.96,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 14:00:00,-16.3,67.35,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 15:00:00,-17.79,63.38,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 16:00:00,-18.59,64.44,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 17:00:00,-16.46,63.42,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 18:00:00,-16.67,61.71,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 19:00:00,-19.0,60.6,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 20:00:00,-18.63,58.38,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 21:00:00,-18.83,56.91,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 22:00:00,-19.09,58.42,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-08 23:00:00,-18.53,60.76,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 00:00:00,-18.84,58.79,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 01:00:00,-18.52,57.49,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 02:00:00,-18.62,58.47,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 03:00:00,-18.91,57.71,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 04:00:00,-18.73,60.73,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 05:00:00,-19.23,61.3,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 06:00:00,-18.34,61.46,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 07:00:00,-18.54,70.16,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 08:00:00,-18.09,64.61,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 09:00:00,-17.69,57.15,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 10:00:00,-18.91,65.38,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 11:00:00,-17.06,62.4,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
2025-07-09 12:00:00,-17.47,68.09,FZ-03,P5-B,Frozen Chicken - LOT#FF0925 - 20 Carton
